Aconoidasida		Aconoidasida			422676
Actinobacteridae		Actinobacteridae			85003
Actinomycetales		Actinomycetales			2037
Actinomycetales	Bacteria	Actinomycetales			2037
Alphaproteobacteria		Alphaproteobacteria			28211
Alveolata		Alveolata			33630
Alveolata-Stramenopiles		Alveolata-Stramenopiles			
Amborella trichopoda	Plants	AMBTC	Amborella	Amborella	13333
Amniota		Amniota			32524
Amoebozoa		Amoebozoa			554915
Andropogoneae		Andropogoneae			147429
Anolis carolinensis	Vertebrates	ANOCA	lizard	lizard	28377
Anopheles gambiae	Invertebrates	ANOGA	mosquito	mosquito	7165
Apicomplexa		Apicomplexa			5794
Aquifex aeolicus	Bacteria	AQUAE	aquifex	aquaficae bacteria	224324
Arabidopsis thaliana	Plants	ARATH	arabidopsis	thale cress	3702
Archaea		Archaea			2157
Archaea-Eukaryota		Archaea-Eukaryota			
Arthropoda		Arthropoda			6656
Artiodactyla		Artiodactyla			91561
Ascomycota		Ascomycota			4890
Ashbya gossypii	Fungi	ASHGO	ashbya	fungi	284811
Aspergillus		Aspergillus			5052
Asteraceae		Asteraceae			4210
asterids		asterids			71274
Bacillales		Bacillales			1385
Bacillariophyta		Bacillariophyta			2836
Bacilli		Bacilli			91061
Bacillus		Bacillus			1386
Bacillus cereus	Bacteria	BACCR	bacillus_cereus	bacillus cereus	226900
Bacillus_cereus_group		Bacillus_cereus_group			
Bacillus subtilis	Bacteria	BACSU	bacillus_subtilis	b subtilis	224308
Bacteroides thetaiotaomicron	Bacteria	BACTN	bacteroidetes	bacteroidetes bacteria	226186
Bacteroidetes		Bacteroidetes			976
bacteroidetes-chlorobi		bacteroidetes-chlorobi			
Basidiomycota		Basidiomycota			5204
Batrachochytrium dendrobatidis	Fungi	BATDJ	chytrid	chytrid fungus	684364
BEP_clade		BEP_clade			359160
Bikonts		Bikonts			
Bilateria		Bilateria			33213
Boreoeutheria		Boreoeutheria			1437010
Bos taurus	Mammals	BOVIN	cow	cow	9913
Brachypodium distachyon	Plants	BRADI	purple_false_brome	purple false brome	15368
Bradyrhizobium diazoefficiens	Bacteria	BRADU	bradyrhizobium	alphaproteobacteria	224911
Branchiostoma floridae	Invertebrates	BRAFL	branchiostoma	lancelet	7739
Brassica		Brassica			3705
Brassica campestris	Plants	BRACM	e_campestris	field mustard	3711
Brassicaceae		Brassicaceae			3700
Brassicales-Malvales		Brassicales-Malvales			
Brassicales-Malvales-Sapindales		Brassicales-Malvales-Sapindales			
Brassica napus	Plants	BRANA	canola	canola	3708
Brassica rapa subsp. pekinensis	Plants	BRARP	cabbage	Chinese cabbage	51351
Bryophyta-Tracheophyta		Bryophyta-Tracheophyta			
Caenorhabditis briggsae	Invertebrates	CAEBR	c_briggsae	nematode worm	6238
Caenorhabditis		Caenorhabditis			6237
Caenorhabditis elegans	Invertebrates	CAEEL	nematode_worm	nematode worm	6239
Candida albicans	Fungi	CANAL	candida	candida	237561
Canis lupus familiaris	Mammals	CANLF	dog	dog	9615
Capsicum annuum	Plants	CAPAN	bell pepper	bell pepper	4072
Carnivora		Carnivora			33554
Caryophyllales-asterids		Caryophyllales-asterids			
Catarrhini		Catarrhini			9526
Chlamydia trachomatis	Bacteria	CHLTR	chlamydia	chlamydia	272561
Chlamydomonas reinhardtii	Plants	CHLRE	green_algae	green algae	3055
Chlamydomonas reinhardtii	Protista	CHLRE	green_algae	green algae	3055
Chloroflexi-Actinobacteria		Chloroflexi-Actinobacteria			
Chloroflexus aurantiacus	Bacteria	CHLAA	chloroflexus	chloroflexi bacteria	324602
Chlorophyta		Chlorophyta			3041
Chordata		Chordata			7711
Chroococcales		Chroococcales			1118
Ciona		Ciona			7718
Ciona intestinalis	Invertebrates	CIOIN	ciona	sea squirt	7719
Citrus sinensis	Plants	CITSI	orange	orange	2711
Clostridia		Clostridia			186801
Clostridium botulinum	Bacteria	CLOBH	clostridium	clostridium	441771
Clostridium		Clostridium			1485
commelinids		commelinids			4734
Corynebacterineae		Corynebacterineae			85007
Coxiella burnetii	Bacteria	COXBU	coxiella	coxiella	227377
Craniata-Cephalochordata		Craniata-Cephalochordata			
Craniata-Tunicata		Craniata-Tunicata			
Cryptococcus neoformans	Fungi	CRYNJ	cryptococcus	basidiomycote fungus	214684
Cucumis sativus	Plants	CUCSA	cucumber	cucumber	3659
Cucurbitales-Fagales		Cucurbitales-Fagales			
Cucurbitales-Rosales		Cucurbitales-Rosales			
Cyanobacteria		Cyanobacteria			1117
Danio rerio	Vertebrates	DANRE	zebrafish	zebrafish	7955
Daphnia pulex	Invertebrates	DAPPU	water_flea	water_flea	6669
Deinococci		Deinococci			188787
Deinococcus radiodurans	Bacteria	DEIRA	deinococcus	bacteria	243230
Delta-epsilon_subdivisions		Delta-epsilon_subdivisions			
Deltaproteobacteria		Deltaproteobacteria			28221
Deuterostomia		Deuterostomia			33511
Dictyoglomus turgidum	Bacteria	DICTD	dictyoglomus	bacteria	515635
Dictyosteliida		Dictyosteliida			33083
Dictyostelium		Dictyostelium			5782
Dictyostelium discoideum	Amoebozoa	DICDI	dictyostelium	slime mold	44689
Dictyostelium purpureum	Amoebozoa	DICPU	d_purpureum	slime mold	5786
Dikarya		Dikarya			451864
Diptera		Diptera			7147
Drosophila melanogaster	Invertebrates	DROME	fruit_fly	fruit fly	7227
Ecdysozoa		Ecdysozoa			1206794
Embryophyta		Embryophyta			3193
Emericella nidulans	Fungi	EMENI	aspergillus	fungi	227321
Endopterygota		Endopterygota			33392
Entamoeba histolytica	Amoebozoa	ENTH1	e_histolytica	amoeba	294381
Entamoeba histolytica	Amoebozoa	ENTHI	entamoeba	amoeba	5759
Enterobacteriaceae		Enterobacteriaceae			543
Equus caballus	Mammals	HORSE	horse	horse	9796
Eremothecium gossypii	Fungi	EREGS	e_gossypii	budding yeasts	284811
Erythranthe guttata	Plants	ERYGU	yellow monkey flower	yellow monkey flower	4155
Escherichia coli	Bacteria	ECOLI	e_coli	E. coli	83333
Euarchontoglires		Euarchontoglires			314146
Eubacteria		Eubacteria			2
Eucalyptus grandis	Plants	EUCGR	flooded gum	flooded gum	71139
eudicotyledons		eudicotyledons			71240
Eukaryota		Eukaryota			2759
Eumetazoa		Eumetazoa			6072
Euphorbiaceae		Euphorbiaceae			3977
eurosids		eurosids			
Eurotiomycetidae		Eurotiomycetidae			451871
Euryarchaeota		Euryarchaeota			28890
Euteleostomi		Euteleostomi			117571
Eutheria		Eutheria			9347
Excavates		Excavates			
Fabales-Rosales		Fabales-Rosales			
fabids		fabids			91835
Felis catus	Mammals	FELCA	cat	cat	9685
Firmicutes		Firmicutes			1239
Firmicutes-Tenericutes		Firmicutes-Tenericutes			
Fornicata-Parabasalids		Fornicata-Parabasalids			
Fungi		Fungi			4751
Fusobacterium nucleatum	Bacteria	FUSNN	fusobacterium	fusobacteria	190304
Gallus gallus	Vertebrates	CHICK	chicken	chicken	9031
Gammaproteobacteria		Gammaproteobacteria			1236
Geobacter sulfurreducens	Bacteria	GEOSL	geobacter	deltaproteobacteria	243231
Giardia intestinalis	Invertebrates	GIAIC	giardia	protist	184922
Gloeobacter violaceus	Bacteria	GLOVI	gloeobacter	cyanobacteria	251221
Glycine max	Plants	SOYBN	soybean	soybean	3847
Gorilla gorilla gorilla	Primates	GORGO	gorilla	gorilla	9595
Gossypium hirsutum	Plants	GOSHI	cotton	upland cotton	3635
Haemophilus influenzae	Bacteria	HAEIN	h_flu	influenza	71421
Halobacteriaceae		Halobacteriaceae			2236
Halobacterium salinarum	Archaea	HALSA	halobacterium	bacteria	64091
Helianthus annuus	Plants	HELAN	sunflower	common sunflower	4232
Helicobacter pylori	Bacteria	HELPY	h_pylori	H.pylori	85962
helobdella robusta	Invertebrates	HELRO	helobdella	leech	6412
Hexapoda-Crustacea		Hexapoda-Crustacea			
Homininae		Homininae			207598
Homo-Pan		Homo-Pan			
Homo sapiens	Primates	HUMAN	human	human	9606
Hordeum vulgare subsp. vulgare	Plants	HORVV	barley	barley	112509
Insecta		Insecta			50557
Ixodes scapularis	Invertebrates	IXOSC	tick	tick	6945
Juglans regia	Plants	JUGRE	english walnut	english walnut	51240
Klebsormidium nitens	Plants	KLENI	green algae	green algae	105231
Korarchaeum cryptofilum	Archaea	KORCO	korarchaeum	candidatus archaea	374847
Lactobacillales		Lactobacillales			186826
Lactuca sativa	Plants	LACSA	garden lettuce	garden lettuce	4236
lamiids		lamiids			91888
Laurasiatheria		Laurasiatheria			314145
Leishmania major	Invertebrates	LEIMA	leishmania	protozoa	5664
lepisosteus oculatus	Vertebrates	LEPOC	lepisosteudae	spotted gar	7918
Leptospira interrogans	Bacteria	LEPIN	leptospira	spirochaetes bacteria	189518
Liliopsida		Liliopsida			4447
Listeria monocytogenes	Bacteria	LISMO	listeria	listeria	169963
LUCA		LUCA			
Macaca mulatta	Primates	MACMU	macacque	macacque monkey	9544
Magnoliophyta		Magnoliophyta			3398
Malpighiales		Malpighiales			3646
Malvaceae		Malvaceae			3629
malvids		malvids			91836
Mammalia		Mammalia			40674
Manihot esculenta	Plants	MANES	cassava	cassava	3983
Marchantia polymorpha	Plants	MARPO	liverwort	liverwort	3197
Medicago truncatula	Plants	MEDTR	barrel medic	barrel medic	3880
Mesangiosperma		Mesangiosperma			1437183
Metazoa-Choanoflagellida		Metazoa-Choanoflagellida			
Metazoa		Metazoa			33208
Methanocaldococcus jannaschii	Archaea	METJA	methanocaldococcus	methanococci archaea	243232
Methanomicrobia		Methanomicrobia			224756
Methanosarcina acetivorans	Archaea	METAC	methanosarcina	euryarchaea	188937
Monodelphis domestica	Mammals	MONDO	opossum	opossum	13616
Monosiga brevicollis	Invertebrates	MONBE	monosiga	sponge	81824
Murinae		Murinae			39107
Musa acuminata subsp. malaccensis	Plants	MUSAM	banana	banana	214687
Mus musculus	Rodents	MOUSE	mouse	mouse	10090
Mycobacterium		Mycobacterium			1763
Mycobacterium tuberculosis	Bacteria	MYCTU	mycobacterium	actinobacteria	83332
mycoplasma genitalium	Bacteria	MYCGE	m_genitalium	mollicutes bacteria	243273
Neisseria meningitidis serogroup b	Bacteria	NEIMB	meningococcus	meningococcus	122586
Nelumbo nucifera	Plants	NELNU	sacred lotus	sacred lotus	4432
Nematostella vectensis	Invertebrates	NEMVE	nematostella	anemone	45351
Neopterygii		Neopterygii			41665
Neosartorya fumigata	Fungi	ASPFU	aspergillus	fungi	330879
Neurospora crassa	Fungi	NEUCR	neurospora	fungi	367110
Nicotiana tabacum	Plants	TOBAC	tobacco	tobacco	4097
Nitrosopumilus maritimus	Archaea	NITMS	nitrosopumilu	thaumarchaea	436308
Oligohymenophorea		Oligohymenophorea			6020
Opisthokonta		Opisthokonta			33154
Opisthokonts		Opisthokonts			33154
Ornithorhynchus anatinus	Mammals	ORNAN	platypus	platypus	9258
Oryza sativa	Plants	ORYSJ	rice	rice	39947
Oryzias latipes	Vertebrates	ORYLA	oryzias	Japanese rice fish	8090
Osteichthyes		Osteichthyes			
Ostreococcus tauri	Plants	OSTTA	Ostreococcus	green algee	70448
Panicoideae		Panicoideae			147369
Pan troglodytes	Primates	PANTR	chimpanzee	chimpanzee	9598
Papilionoideae		Papilionoideae			3814
Paramecium tetraurelia	Unicelluar eukaryote	PARTE	paramecium	paramecium	5888
Pentapetalae		Pentapetalae			1437201
Perissodactyla		Perissodactyla			9787
Pezizomycotina		Pezizomycotina			147538
Pezizomycotina-Saccharomycotina		Pezizomycotina-Saccharomycotina			
Phaeosphaeria nodorum	Fungi	PHANO	phaeosphaeria	fungi	321614
Phoenix dactylifera	Plants	PHODC	date palm	date palm	42345
Physcomitrella patens	Plants	PHYPA	moss	moss	3218
Phytophthora infestans	Chromalviolata	PHYIT	phytophthora	oomycete	403677
Phytophthora		Phytophthora			4783
Phytophthora ramorum	Alveolata	PHYRM	phytophthora	oomycete	164328
Plasmodium falciparum	Chromalveolata	PLAF7	plasmodium	apicomplexan	36329
Plasmodium falciparum	Chromalviolata	PLAF7	plasmodium	apicomplexan	36329
Pleosporineae		Pleosporineae			715340
Poaceae		Poaceae			4479
Pooideae		Pooideae			147368
Populus trichocarpa	Plants	POPTR	black_cottonwood	black cottonwood	3694
Pristionchus pacificus	Invertebrates	PRIPA	pristionchus	nematode worm	54126
Proteobacteria		Proteobacteria			1224
Protostomia		Protostomia			33317
Prunus persica	Plants	PRUPE	peach	peach	3760
Pseudomonas aeruginosa	Bacteria	PSEAE	pseudomonas	bacteria	208964
Puccinia graminis	Fungi	PUCGT	puccinia	fungi	418459
PVC_group		PVC_group			1783257
Pyrobaculum aerophilum	Archaea	PYRAE	pyrobaculum	crenarchaea	178306
Rattus norvegicus	Rodents	RAT	rat	rat	10116
Rhabditida-Chromadorea		Rhabditida-Chromadorea			
Rhizobiales		Rhizobiales			356
Rhodopirellula baltica	Bacteria	RHOBA	rhodopirellula	bacteria	243090
Ricinus communis	Plants	RICCO	bean	castor bean	3988
rosids		rosids			71275
Saccharomyces cerevisiae	Fungi	YEAST	budding_yeast	Brewer's yeast	559292
Saccharomycetaceae-Candida		Saccharomycetaceae-Candida			2952368
Saccharomycetaceae		Saccharomycetaceae			4893
Saccharomycetales		Saccharomycetales			4892
Salmonella typhimurium	Bacteria	SALTY	salmonella	salmonella	99287
SAR/HA_supergroup		SAR/HA_supergroup			2698737
Sauria		Sauria			32561
Schistosoma mansoni	Invertebrates	SCHMA	schistosoma	flatworm	6183
Schizosaccharomyces japonicus	Fungi	SCHJY	s_japonicus	s_japonicus	402676
Schizosaccharomyces pombe	Fungi	SCHPO	fission_yeast	fission yeast	284812
Schizosaccharomyces		Schizosaccharomyces			4895
